一	横
兹	点,撇,横,撇折,撇折,点,撇折,撇折,点
差	点,撇,横,横,横,撇,横,竖,横
翁	撇,捺,撇折,点,横折钩,点,提,横折钩,点,提
𠕁	竖,横折钩,横,竖,竖
蚩	竖折,竖,竖,横,竖,横折,横,竖,横,点
皋	撇,竖,横折,横,横,横,撇,捺,横,竖
索	横,竖,点,横钩,撇折,撇折,点,竖钩,撇,点
海	点,点,提,撇,横,竖折,横折钩,点,横,点
秦	横,横,横,撇,捺,撇,横,竖,撇,点
聂	横,竖,竖,横,横,横,横撇,点,横撇,捺
荷	横,竖,竖,撇,竖,横,竖,横折,横,竖钩
恩	竖,横折,横,撇,点,横,点,卧钩,点,点
爹	撇,点,撇,捺,撇,横撇,点,撇,横撇,点
通	横撇,点,竖,横折钩,横,横,竖,点,横折折撇,捺
欶	横,竖横折,横,竖,撇,点,撇,横钩,撇,捺
族	点,横,横折钩,撇,撇,横,撇,横,横,撇,捺
啇	点,横,点,撇,竖,横折钩,横,竖,竖,横折,横
戚	横,撇,竖,横,横,竖钩,撇,点,斜钩,撇,点
曹	横,竖,横折,横,竖,竖,横,竖,横折,横,横
戛	横,撇,竖,横折,横,横,横,横,斜钩,撇,点
虚	竖,横,横钩,撇,横,竖弯钩,竖,竖,点,撇,横
得	撇,撇,竖,竖,横折,横,横,横,横,竖钩,点
麻	点,横,撇,横,竖,撇,点,横,竖,撇,捺
勒	横,竖,竖,横,竖,横折,横,横,竖,横折钩,撇
都	横,竖,横,撇,竖,横折,横,横,横撇弯钩,竖
堂	竖,点,撇,点,横钩,竖,横折,横,横,竖,横
崩	竖,竖折,竖,撇,横折钩,横,横,撇,横折钩,横,横
婴	竖,横折,撇,点,竖,横折,撇,点,撇点,撇,横
密	点,点,横钩,点,卧钩,点,撇,点,竖,竖折,竖
